"Day: ","Animal Count: ","Grass Count: ","Avg Energy: ","Empty Tiles: ","Avg Life:"
"1","15","55","49","555","..."
"2","15","59","49","551","..."
"3","15","62","49","548","..."
"4","15","65","49","545","..."
"5","15","69","49","541","..."
"6","15","72","49","538","..."
"7","15","75","50","535","..."
"8","15","78","50","532","..."
"9","15","82","50","528","..."
"10","15","85","50","525","..."
"11","15","90","49","520","..."
"12","15","92","50","518","..."
"13","15","95","50","515","..."
"14","15","97","51","513","..."
"15","15","101","51","509","..."
"16","15","103","52","507","..."
"17","15","106","52","504","..."
"18","15","110","52","500","..."
"19","15","111","54","499","..."
"20","15","115","53","495","..."
"21","15","118","54","492","..."
"22","15","122","53","488","..."
"23","15","126","53","484","..."
"24","15","131","52","479","..."
"25","15","134","52","476","..."
"26","15","137","53","473","..."
"27","15","140","53","470","..."
"28","15","144","53","466","..."
"29","15","148","52","462","..."
"30","15","153","51","457","..."
"31","15","157","51","453","..."
"32","15","159","52","451","..."
"33","15","161","53","449","..."
"34","15","165","53","445","..."
"35","15","167","54","443","..."
"36","15","168","55","442","..."
"37","15","171","56","439","..."
"38","15","172","57","438","..."
"39","15","176","57","434","..."
"40","15","178","58","432","..."
"41","15","179","60","431","..."
"42","15","183","59","427","..."
"43","15","183","62","427","..."
"44","16","185","59","426","..."
"45","14","186","69","425","44"
"46","14","186","71","425","44"
"47","14","187","73","424","44"
"48","14","190","74","421","44"
"49","14","192","75","419","44"
"50","14","194","76","417","44"
"51","14","196","77","415","44"
"52","14","195","80","416","44"
"53","14","194","84","417","44"
"54","14","195","86","416","44"
"55","14","196","87","415","44"
"56","14","195","91","416","44"
"57","14","197","92","414","44"
"58","15","196","89","416","44"
"59","15","197","90","413","44"
"60","15","197","93","413","44"
"61","15","194","97","416","44"
"62","15","191","101","419","44"
"63","15","194","102","416","44"
"64","15","193","105","417","44"
"65","15","192","108","418","44"
"66","16","195","101","416","44"
"67","16","192","105","417","44"
"68","16","193","107","416","44"
"69","16","192","110","417","44"
"70","16","193","111","416","44"
"71","16","193","113","416","44"
"72","16","192","116","417","44"
"73","16","193","118","416","44"
"74","16","195","118","414","44"
"75","16","194","121","415","44"
"76","16","194","123","415","44"
"77","16","198","123","411","44"
"78","16","197","126","412","44"
"79","16","199","126","410","44"
"80","16","200","128","409","44"
"81","17","201","121","409","44"
"82","18","200","117","409","44"
"83","19","201","112","407","44"
"84","19","204","112","402","44"
"85","19","204","114","402","44"
"86","19","202","116","404","44"
"87","20","201","113","406","44"
"88","20","201","114","404","44"
"89","20","202","115","403","44"
"90","20","203","116","402","44"
"91","20","204","117","401","44"
"95","20","205","123","400","44"
"95","20","205","123","400","44"
"95","20","205","123","400","44"
"95","20","205","123","400","44"
"96","20","206","124","399","44"
"97","20","206","125","399","44"
"98","20","202","129","403","44"
"99","20","203","130","402","44"
"100","20","205","130","400","44"
"101","20","208","130","397","44"
"102","20","209","131","396","44"
"103","20","211","132","394","44"
"104","20","213","132","392","44"
"105","20","213","134","392","44"
"106","20","212","136","393","44"
"107","21","209","132","397","44"
"108","21","211","132","393","44"
"109","21","213","133","391","44"
"110","21","215","133","389","44"
"111","21","214","135","390","44"
"112","22","213","131","392","44"
"113","23","214","126","390","44"
"114","23","214","127","389","44"
"115","24","217","122","386","44"
"116","24","216","123","385","44"
"117","24","213","125","389","44"
"118","24","211","127","391","44"
"119","24","213","128","388","44"
"120","26","213","119","390","44"
"121","27","212","116","389","44"
"122","27","214","116","386","32"
"123","28","215","112","384","32"
"124","28","214","113","384","32"
"125","29","212","111","388","32"
"126","30","205","110","393","32"
"127","30","203","111","394","28"
"128","31","203","109","393","28"
"129","32","201","106","395","28"
"130","35","198","99","398","28"
"131","37","196","94","397","28"
"132","38","194","93","397","28"
"133","38","190","94","398","28"
"134","40","188","90","402","28"
"135","41","182","89","406","49"
"136","42","179","88","406","49"
"137","42","173","90","413","43"
"138","44","169","87","419","43"
"139","44","170","87","414","43"
"140","45","167","86","415","43"
"141","47","163","83","419","43"
"142","48","154","83","427","43"
"143","49","154","81","427","43"
"144","52","150","77","432","43"
"145","53","145","77","431","43"
"146","56","143","73","435","43"
"147","58","140","71","433","43"
"148","59","134","71","437","43"
"149","62","128","68","445","43"
"150","62","126","68","444","39"
"151","62","124","68","442","39"
"152","64","121","66","445","39"
"153","66","121","64","449","37"
"154","67","120","63","447","37"
"155","70","117","61","448","37"
"156","73","114","58","450","35"
"157","73","110","59","444","35"
"158","77","108","55","451","35"
"159","78","104","55","446","35"
"160","80","98","54","457","35"
"161","81","91","54","459","35"
"162","84","88","52","463","35"
"163","89","80","49","469","35"
"164","91","77","48","471","34"
"165","91","77","48","469","33"
"166","89","75","49","470","32"
"167","94","74","46","474","32"
"168","91","69","47","477","35"
"169","91","69","47","474","34"
"170","91","63","47","480","34"
"171","89","62","48","483","34"
"172","91","61","46","483","34"
"173","92","59","46","482","33"
"174","96","59","43","486","32"
